rank,hashtag,hashtag_id,posts,video_views,rank_diff,rank_diff_type,is_promoted,trend_7d
28,liburan,6403434,34182,125697950,39,1,False,"[{""time"": 1773878400, ""value"": 0.4}, {""time"": 1773964800, ""value"": 0.45}, {""time"": 1774051200, ""value"": 0.46}, {""time"": 1774137600, ""value"": 0.44}, {""time"": 1774224000, ""value"": 0.45}, {""time"": 1774310400, ""value"": 0.76}, {""time"": 1774396800, ""value"": 1}]"
29,productosdecabello,1664963930782725,10779,12034666,50,1,False,"[{""time"": 1773878400, ""value"": 0.6}, {""time"": 1773964800, ""value"": 0.69}, {""time"": 1774051200, ""value"": 0.75}, {""time"": 1774137600, ""value"": 0.83}, {""time"": 1774224000, ""value"": 0.88}, {""time"": 1774310400, ""value"": 0.62}, {""time"": 1774396800, ""value"": 1}]"
30,tuesdayvibes,433731,3674,4699488,0,4,False,"[{""time"": 1773878400, ""value"": 1}, {""time"": 1773964800, ""value"": 0.39}, {""time"": 1774051200, ""value"": 0.12}, {""time"": 1774137600, ""value"": 0.09}, {""time"": 1774224000, ""value"": 0.08}, {""time"": 1774310400, ""value"": 0.09}, {""time"": 1774396800, ""value"": 0.18}]"
31,crecimientodepelo,86676432,10753,11696136,51,1,False,"[{""time"": 1773878400, ""value"": 0.62}, {""time"": 1773964800, ""value"": 0.71}, {""time"": 1774051200, ""value"": 0.75}, {""time"": 1774137600, ""value"": 0.84}, {""time"": 1774224000, ""value"": 0.88}, {""time"": 1774310400, ""value"": 0.63}, {""time"": 1774396800, ""value"": 1}]"
32,amiahmiller,57220025,6779,132624835,30,1,False,"[{""time"": 1773878400, ""value"": 0.19}, {""time"": 1773964800, ""value"": 0.23}, {""time"": 1774051200, ""value"": 0.37}, {""time"": 1774137600, ""value"": 0.57}, {""time"": 1774224000, ""value"": 0.97}, {""time"": 1774310400, ""value"": 0.87}, {""time"": 1774396800, ""value"": 1}]"
33,jayz,3817,3402,42737480,0,4,False,"[{""time"": 1773878400, ""value"": 0.7}, {""time"": 1773964800, ""value"": 0.76}, {""time"": 1774051200, ""value"": 0.86}, {""time"": 1774137600, ""value"": 0.87}, {""time"": 1774224000, ""value"": 0.81}, {""time"": 1774310400, ""value"": 0.77}, {""time"": 1774396800, ""value"": 1}]"
34,francescabridgerton,1681073714251777,730,31772777,0,4,False,"[{""time"": 1773878400, ""value"": 1}, {""time"": 1773964800, ""value"": 0.88}, {""time"": 1774051200, ""value"": 0.96}, {""time"": 1774137600, ""value"": 0.88}, {""time"": 1774224000, ""value"": 0.92}, {""time"": 1774310400, ""value"": 0.85}, {""time"": 1774396800, ""value"": 0.85}]"
35,daredevilbornagain,1684059689525250,2494,87481556,0,4,False,"[{""time"": 1773878400, ""value"": 0.65}, {""time"": 1773964800, ""value"": 0.71}, {""time"": 1774051200, ""value"": 0.71}, {""time"": 1774137600, ""value"": 0.86}, {""time"": 1774224000, ""value"": 0.9}, {""time"": 1774310400, ""value"": 0.92}, {""time"": 1774396800, ""value"": 1}]"
36,gypsyrose,59006387,2131,235902688,40,1,False,"[{""time"": 1773878400, ""value"": 0.44}, {""time"": 1773964800, ""value"": 0.38}, {""time"": 1774051200, ""value"": 0.37}, {""time"": 1774137600, ""value"": 0.38}, {""time"": 1774224000, ""value"": 0.55}, {""time"": 1774310400, ""value"": 0.87}, {""time"": 1774396800, ""value"": 1}]"
37,sadiomane,53418262,5743,88254194,50,1,False,"[{""time"": 1773878400, ""value"": 0.56}, {""time"": 1773964800, ""value"": 1}, {""time"": 1774051200, ""value"": 0.77}, {""time"": 1774137600, ""value"": 0.77}, {""time"": 1774224000, ""value"": 0.8}, {""time"": 1774310400, ""value"": 0.74}, {""time"": 1774396800, ""value"": 0.91}]"
38,jhope,39526,24795,221620609,0,4,False,"[{""time"": 1773878400, ""value"": 0.71}, {""time"": 1773964800, ""value"": 0.61}, {""time"": 1774051200, ""value"": 0.59}, {""time"": 1774137600, ""value"": 0.78}, {""time"": 1774224000, ""value"": 0.94}, {""time"": 1774310400, ""value"": 1}, {""time"": 1774396800, ""value"": 0.84}]"
39,mohamedsalah,70795058,647,11121540,0,4,False,"[{""time"": 1773878400, ""value"": 0.32}, {""time"": 1773964800, ""value"": 0.83}, {""time"": 1774051200, ""value"": 1}, {""time"": 1774137600, ""value"": 0.52}, {""time"": 1774224000, ""value"": 0.37}, {""time"": 1774310400, ""value"": 0.33}, {""time"": 1774396800, ""value"": 0.34}]"
40,francefootball,1595025494412293,4805,40697093,55,1,False,"[{""time"": 1773878400, ""value"": 0.46}, {""time"": 1773964800, ""value"": 0.57}, {""time"": 1774051200, ""value"": 0.64}, {""time"": 1774137600, ""value"": 0.72}, {""time"": 1774224000, ""value"": 0.76}, {""time"": 1774310400, ""value"": 0.75}, {""time"": 1774396800, ""value"": 1}]"
41,kunno,32643016,2184,30480594,0,4,False,"[{""time"": 1773878400, ""value"": 0.81}, {""time"": 1773964800, ""value"": 0.87}, {""time"": 1774051200, ""value"": 1}, {""time"": 1774137600, ""value"": 0.85}, {""time"": 1774224000, ""value"": 0.84}, {""time"": 1774310400, ""value"": 0.83}, {""time"": 1774396800, ""value"": 0.83}]"
42,bestofbothworlds,72674,858,7304825,0,4,False,"[{""time"": 1773878400, ""value"": 0.49}, {""time"": 1773964800, ""value"": 0.56}, {""time"": 1774051200, ""value"": 0.56}, {""time"": 1774137600, ""value"": 0.57}, {""time"": 1774224000, ""value"": 0.6}, {""time"": 1774310400, ""value"": 0.62}, {""time"": 1774396800, ""value"": 1}]"
43,cuidadohair,1661377912162309,8203,9405467,46,1,False,"[{""time"": 1773878400, ""value"": 0.5}, {""time"": 1773964800, ""value"": 0.69}, {""time"": 1774051200, ""value"": 0.71}, {""time"": 1774137600, ""value"": 0.82}, {""time"": 1774224000, ""value"": 0.89}, {""time"": 1774310400, ""value"": 0.61}, {""time"": 1774396800, ""value"": 1}]"
44,actufoot,1655384588854277,4814,32396166,0,4,False,"[{""time"": 1773878400, ""value"": 0.47}, {""time"": 1773964800, ""value"": 0.6}, {""time"": 1774051200, ""value"": 0.65}, {""time"": 1774137600, ""value"": 0.74}, {""time"": 1774224000, ""value"": 0.77}, {""time"": 1774310400, ""value"": 0.72}, {""time"": 1774396800, ""value"": 1}]"
45,bikinibabe,12651798,9494,53889773,0,4,False,"[{""time"": 1773878400, ""value"": 0.48}, {""time"": 1773964800, ""value"": 0.63}, {""time"": 1774051200, ""value"": 0.74}, {""time"": 1774137600, ""value"": 1}, {""time"": 1774224000, ""value"": 0.75}, {""time"": 1774310400, ""value"": 0.81}, {""time"": 1774396800, ""value"": 0.93}]"
46,planecrash,617589,1112,29315476,52,1,False,"[{""time"": 1773878400, ""value"": 0.31}, {""time"": 1773964800, ""value"": 0.32}, {""time"": 1774051200, ""value"": 0.27}, {""time"": 1774137600, ""value"": 0.29}, {""time"": 1774224000, ""value"": 0.29}, {""time"": 1774310400, ""value"": 0.28}, {""time"": 1774396800, ""value"": 1}]"
47,pantaivibes,1685967255341073,14863,38722527,47,1,False,"[{""time"": 1773878400, ""value"": 0.34}, {""time"": 1773964800, ""value"": 0.34}, {""time"": 1774051200, ""value"": 0.34}, {""time"": 1774137600, ""value"": 0.34}, {""time"": 1774224000, ""value"": 0.35}, {""time"": 1774310400, ""value"": 0.7}, {""time"": 1774396800, ""value"": 1}]"
48,swimwearmodel,52491005,9058,52155155,0,4,False,"[{""time"": 1773878400, ""value"": 0.46}, {""time"": 1773964800, ""value"": 0.62}, {""time"": 1774051200, ""value"": 0.71}, {""time"": 1774137600, ""value"": 1}, {""time"": 1774224000, ""value"": 0.73}, {""time"": 1774310400, ""value"": 0.8}, {""time"": 1774396800, ""value"": 0.93}]"
49,gyatt,79048586,3288,18122711,0,4,False,"[{""time"": 1773878400, ""value"": 0.57}, {""time"": 1773964800, ""value"": 0.48}, {""time"": 1774051200, ""value"": 0.44}, {""time"": 1774137600, ""value"": 0.58}, {""time"": 1774224000, ""value"": 0.72}, {""time"": 1774310400, ""value"": 0.87}, {""time"": 1774396800, ""value"": 1}]"
50,امطار,10917778,19560,87801398,40,1,False,"[{""time"": 1773878400, ""value"": 0.25}, {""time"": 1773964800, ""value"": 0.37}, {""time"": 1774051200, ""value"": 0.76}, {""time"": 1774137600, ""value"": 0.35}, {""time"": 1774224000, ""value"": 0.6}, {""time"": 1774310400, ""value"": 0.81}, {""time"": 1774396800, ""value"": 1}]"
51,bikinilove,11688286,8936,49741689,0,4,False,"[{""time"": 1773878400, ""value"": 0.44}, {""time"": 1773964800, ""value"": 0.61}, {""time"": 1774051200, ""value"": 0.71}, {""time"": 1774137600, ""value"": 1}, {""time"": 1774224000, ""value"": 0.72}, {""time"": 1774310400, ""value"": 0.79}, {""time"": 1774396800, ""value"": 0.92}]"
52,beachykeen,16774185,8885,49543310,0,4,False,"[{""time"": 1773878400, ""value"": 0.44}, {""time"": 1773964800, ""value"": 0.6}, {""time"": 1774051200, ""value"": 0.7}, {""time"": 1774137600, ""value"": 1}, {""time"": 1774224000, ""value"": 0.71}, {""time"": 1774310400, ""value"": 0.79}, {""time"": 1774396800, ""value"": 0.92}]"
53,интерны,14439311,6081,153918395,0,4,False,"[{""time"": 1773878400, ""value"": 0.41}, {""time"": 1773964800, ""value"": 0.63}, {""time"": 1774051200, ""value"": 0.81}, {""time"": 1774137600, ""value"": 1}, {""time"": 1774224000, ""value"": 0.94}, {""time"": 1774310400, ""value"": 0.86}, {""time"": 1774396800, ""value"": 0.7}]"
54,gypsyroseblanchard,1625430322153477,1764,213136431,37,1,False,"[{""time"": 1773878400, ""value"": 0.44}, {""time"": 1773964800, ""value"": 0.47}, {""time"": 1774051200, ""value"": 0.39}, {""time"": 1774137600, ""value"": 0.39}, {""time"": 1774224000, ""value"": 0.62}, {""time"": 1774310400, ""value"": 0.97}, {""time"": 1774396800, ""value"": 1}]"
55,debatepresidencial,1601051025918981,540,5967253,0,4,False,"[{""time"": 1773878400, ""value"": 0.18}, {""time"": 1773964800, ""value"": 0.21}, {""time"": 1774051200, ""value"": 0.4}, {""time"": 1774137600, ""value"": 0.25}, {""time"": 1774224000, ""value"": 0.23}, {""time"": 1774310400, ""value"": 0.36}, {""time"": 1774396800, ""value"": 1}]"
56,touring,307300,15264,79780981,0,4,False,"[{""time"": 1773878400, ""value"": 0.55}, {""time"": 1773964800, ""value"": 0.57}, {""time"": 1774051200, ""value"": 0.57}, {""time"": 1774137600, ""value"": 0.55}, {""time"": 1774224000, ""value"": 0.57}, {""time"": 1774310400, ""value"": 0.77}, {""time"": 1774396800, ""value"": 1}]"
57,csm232,7615649535175426070,29,487921,0,4,False,"[{""time"": 1773878400, ""value"": 0.21}, {""time"": 1773964800, ""value"": 0.14}, {""time"": 1774051200, ""value"": 0.24}, {""time"": 1774137600, ""value"": 0.15}, {""time"": 1774224000, ""value"": 0.35}, {""time"": 1774310400, ""value"": 0.25}, {""time"": 1774396800, ""value"": 1}]"
58,bubblemouth,5351436,4363,65447949,42,1,False,"[{""time"": 1773878400, ""value"": 0.59}, {""time"": 1773964800, ""value"": 0.83}, {""time"": 1774051200, ""value"": 0.91}, {""time"": 1774137600, ""value"": 0.93}, {""time"": 1774224000, ""value"": 0.96}, {""time"": 1774310400, ""value"": 0.94}, {""time"": 1774396800, ""value"": 1}]"
59,novelly,56531664,1051,343299,0,4,False,"[{""time"": 1773878400, ""value"": 0.05}, {""time"": 1773964800, ""value"": 0.05}, {""time"": 1774051200, ""value"": 0.06}, {""time"": 1774137600, ""value"": 0.05}, {""time"": 1774224000, ""value"": 0.05}, {""time"": 1774310400, ""value"": 0.85}, {""time"": 1774396800, ""value"": 1}]"
60,hannahmontanaanniversary,1695154113572870,299,1683420,0,4,False,"[{""time"": 1773878400, ""value"": 0.39}, {""time"": 1773964800, ""value"": 0.39}, {""time"": 1774051200, ""value"": 0.35}, {""time"": 1774137600, ""value"": 0.34}, {""time"": 1774224000, ""value"": 0.46}, {""time"": 1774310400, ""value"": 0.51}, {""time"": 1774396800, ""value"": 1}]"
61,happytuesday,40534,1779,1765911,0,4,False,"[{""time"": 1773878400, ""value"": 1}, {""time"": 1773964800, ""value"": 0.26}, {""time"": 1774051200, ""value"": 0.08}, {""time"": 1774137600, ""value"": 0.03}, {""time"": 1774224000, ""value"": 0.04}, {""time"": 1774310400, ""value"": 0.04}, {""time"": 1774396800, ""value"": 0.16}]"
62,dwaynejohnson,199176,1294,31597582,0,4,False,"[{""time"": 1773878400, ""value"": 0.5}, {""time"": 1773964800, ""value"": 0.43}, {""time"": 1774051200, ""value"": 0.49}, {""time"": 1774137600, ""value"": 0.49}, {""time"": 1774224000, ""value"": 0.49}, {""time"": 1774310400, ""value"": 0.47}, {""time"": 1774396800, ""value"": 1}]"
63,danautoba,17884358,11633,73735392,0,4,False,"[{""time"": 1773878400, ""value"": 0.39}, {""time"": 1773964800, ""value"": 0.43}, {""time"": 1774051200, ""value"": 0.46}, {""time"": 1774137600, ""value"": 0.47}, {""time"": 1774224000, ""value"": 0.53}, {""time"": 1774310400, ""value"": 0.77}, {""time"": 1774396800, ""value"": 1}]"
64,wonosobo,629743,13469,81066537,0,4,False,"[{""time"": 1773878400, ""value"": 0.5}, {""time"": 1773964800, ""value"": 0.53}, {""time"": 1774051200, ""value"": 0.53}, {""time"": 1774137600, ""value"": 0.61}, {""time"": 1774224000, ""value"": 0.56}, {""time"": 1774310400, ""value"": 0.68}, {""time"": 1774396800, ""value"": 1}]"
65,hunxho,1661174493922310,1668,21839675,0,4,False,"[{""time"": 1773878400, ""value"": 0.46}, {""time"": 1773964800, ""value"": 0.45}, {""time"": 1774051200, ""value"": 0.52}, {""time"": 1774137600, ""value"": 0.55}, {""time"": 1774224000, ""value"": 0.69}, {""time"": 1774310400, ""value"": 0.88}, {""time"": 1774396800, ""value"": 1}]"
66,mosesmoody,1685162774673410,4,26515,0,4,False,"[{""time"": 1773878400, ""value"": 0.91}, {""time"": 1773964800, ""value"": 0.88}, {""time"": 1774051200, ""value"": 0.9}, {""time"": 1774137600, ""value"": 0.92}, {""time"": 1774224000, ""value"": 0.94}, {""time"": 1774310400, ""value"": 0.97}, {""time"": 1774396800, ""value"": 1}]"
67,fujimoto,24079532,413,6813848,0,4,False,"[{""time"": 1773878400, ""value"": 1}, {""time"": 1773964800, ""value"": 0.95}, {""time"": 1774051200, ""value"": 0.82}, {""time"": 1774137600, ""value"": 0.81}, {""time"": 1774224000, ""value"": 0.96}, {""time"": 1774310400, ""value"": 0.87}, {""time"": 1774396800, ""value"": 0.99}]"
68,franchaela,7380021408284540933,312,5357543,0,4,False,"[{""time"": 1773878400, ""value"": 0.9}, {""time"": 1773964800, ""value"": 0.97}, {""time"": 1774051200, ""value"": 1}, {""time"": 1774137600, ""value"": 0.87}, {""time"": 1774224000, ""value"": 0.83}, {""time"": 1774310400, ""value"": 0.96}, {""time"": 1774396800, ""value"": 0.85}]"
69,tacotuesday,10439,1571,10323663,0,4,False,"[{""time"": 1773878400, ""value"": 1}, {""time"": 1773964800, ""value"": 0.72}, {""time"": 1774051200, ""value"": 0.31}, {""time"": 1774137600, ""value"": 0.26}, {""time"": 1774224000, ""value"": 0.26}, {""time"": 1774310400, ""value"": 0.21}, {""time"": 1774396800, ""value"": 0.31}]"
70,craftland,1661440461120518,38538,69692010,0,4,False,"[{""time"": 1773878400, ""value"": 0.82}, {""time"": 1773964800, ""value"": 0.81}, {""time"": 1774051200, ""value"": 1}, {""time"": 1774137600, ""value"": 0.95}, {""time"": 1774224000, ""value"": 0.98}, {""time"": 1774310400, ""value"": 0.97}, {""time"": 1774396800, ""value"": 0.97}]"
71,newdropsforyou,7611731106085208078,10165,15428612,0,4,False,"[{""time"": 1773878400, ""value"": 0.63}, {""time"": 1773964800, ""value"": 0.81}, {""time"": 1774051200, ""value"": 0.84}, {""time"": 1774137600, ""value"": 0.95}, {""time"": 1774224000, ""value"": 0.97}, {""time"": 1774310400, ""value"": 0.83}, {""time"": 1774396800, ""value"": 1}]"
72,hannahversary,1662095256699909,110,1054882,0,4,False,"[{""time"": 1773878400, ""value"": 0.53}, {""time"": 1773964800, ""value"": 0.7}, {""time"": 1774051200, ""value"": 0.48}, {""time"": 1774137600, ""value"": 0.55}, {""time"": 1774224000, ""value"": 0.62}, {""time"": 1774310400, ""value"": 0.57}, {""time"": 1774396800, ""value"": 1}]"
73,robloxupdate,21163151,610,15820303,0,4,False,"[{""time"": 1773878400, ""value"": 0.55}, {""time"": 1773964800, ""value"": 0.53}, {""time"": 1774051200, ""value"": 0.84}, {""time"": 1774137600, ""value"": 1}, {""time"": 1774224000, ""value"": 0.92}, {""time"": 1774310400, ""value"": 0.77}, {""time"": 1774396800, ""value"": 0.89}]"
74,bridgertonseason5,7079730641813651502,51,1762609,0,4,False,"[{""time"": 1773878400, ""value"": 0.81}, {""time"": 1773964800, ""value"": 0.91}, {""time"": 1774051200, ""value"": 0.62}, {""time"": 1774137600, ""value"": 1}, {""time"": 1774224000, ""value"": 0.64}, {""time"": 1774310400, ""value"": 0.58}, {""time"": 1774396800, ""value"": 0.8}]"
75,halalbihalal,20251364,12265,25292943,0,4,False,"[{""time"": 1773878400, ""value"": 0.19}, {""time"": 1773964800, ""value"": 0.23}, {""time"": 1774051200, ""value"": 0.22}, {""time"": 1774137600, ""value"": 0.27}, {""time"": 1774224000, ""value"": 0.6}, {""time"": 1774310400, ""value"": 0.8}, {""time"": 1774396800, ""value"": 1}]"
76,liburlebaran,42883738,17051,47975231,0,4,False,"[{""time"": 1773878400, ""value"": 0.66}, {""time"": 1773964800, ""value"": 0.78}, {""time"": 1774051200, ""value"": 0.62}, {""time"": 1774137600, ""value"": 0.59}, {""time"": 1774224000, ""value"": 0.44}, {""time"": 1774310400, ""value"": 0.72}, {""time"": 1774396800, ""value"": 1}]"
